  place,date,   HumidMean,   HumidMax,   HumidMin
  Hupsel,20161218,   95,   98,   87
  Hupsel,20161219,   93,   99,   84
  Hupsel,20161220,   96,   98,   93
  Hupsel,20161221,   85,   95,   75
  Hupsel,20161222,   94,   96,   90
  Hupsel,20161223,   89,   95,   80
  Hupsel,20161224,   85,   94,   77
  Hupsel,20161225,   92,   97,   84
  Hupsel,20161226,   79,   93,   58
  Hupsel,20161227,   88,   98,   76
  Hupsel,20161228,   98,   99,   95
  Hupsel,20161229,   91,   99,   74
  Hupsel,20161230,   91,   97,   79
  Hupsel,20161231,   97,   98,   93
  Beerta,20160101,   94,   99,   84
  Beerta,20160102,   89,   95,   81
  Beerta,20160103,   91,   94,   85
  Beerta,20160104,   89,   92,   86
  Beerta,20160105,   92,   93,   88
  Beerta,20160106,   88,   91,   86
  Beerta,20160107,   94,   99,   90
  Beerta,20160108,   83,   94,   72
  Beerta,20160109,   91,   99,   85
  Beerta,20160110,   86,   93,   77
  Beerta,20160111,   94,   97,   86
  Beerta,20160112,   92,   95,   89
  Beerta,20160113,   91,   96,   83
  Beerta,20160114,   93,   96,   89
  Beerta,20160115,   94,   97,   87
  Beerta,20160116,   96,  100,   88
  Beerta,20160117,   83,   99,   69
  Beerta,20160118,   86,   97,   73
  Beerta,20160119,   90,   97,   79
  Beerta,20160120,   96,   99,   90
  Beerta,20160121,   95,   99,   91
  Beerta,20160122,   89,  100,   80
  Beerta,20160123,   98,  100,   94
  Beerta,20160124,   97,   99,   93
  Beerta,20160125,   91,  100,   79
  Beerta,20160126,   86,   97,   76
  Beerta,20160127,   91,   95,   85
  Beerta,20160128,   78,   85,   69
  Beerta,20160129,   88,   95,   80
  Beerta,20160130,   87,   95,   74
  Beerta,20160131,   87,   99,   79
  Beerta,20160201,   88,   99,   75
  Beerta,20160202,   70,   77,   66
  Beerta,20160203,   83,   93,   71
  Beerta,20160204,   93,   98,   87
  Beerta,20160205,   96,   99,   90
  Beerta,20160206,   84,   97,   75
  Beerta,20160207,   75,   88,   70
  Beerta,20160208,   81,   90,   67
  Beerta,20160209,   87,   94,   78
  Beerta,20160210,   90,   94,   81
  Beerta,20160211,   87,   96,   73
  Beerta,20160212,   95,  100,   81
  Beerta,20160213,   95,  100,   87
  Beerta,20160214,   93,   96,   88
  Beerta,20160215,   80,   93,   70
  Beerta,20160216,   81,   97,   58
  Beerta,20160217,   85,   96,   75
  Beerta,20160218,   86,   96,   66
  Beerta,20160219,   92,  100,   82
  Beerta,20160220,   90,   99,   80
  Beerta,20160221,   91,  100,   85
  Beerta,20160222,   85,   96,   74
  Beerta,20160223,   88,   96,   70
  Beerta,20160224,   86,   96,   70
  Beerta,20160225,   90,   99,   72
  Beerta,20160226,   89,   98,   65
  Beerta,20160227,   85,   98,   56
  Beerta,20160228,   90,   99,   62
  Beerta,20160229,   85,   98,   59
  Beerta,20160301,   90,   99,   68
  Beerta,20160302,   90,   99,   70
  Beerta,20160303,   92,   98,   80
  Beerta,20160304,   91,   99,   76
  Beerta,20160305,   95,  100,   80
  Beerta,20160306,   91,   99,   70
  Beerta,20160307,   86,   99,   56
  Beerta,20160308,   90,   98,   69
  Beerta,20160309,   79,   95,   58
  Beerta,20160310,   86,   99,   77
  Beerta,20160311,   87,  100,   71
  Beerta,20160312,   81,   96,   59
  Beerta,20160313,   86,   97,   68
  Beerta,20160314,   86,   99,   65
  Beerta,20160315,   92,   99,   76
  Beerta,20160316,   78,   94,   49
  Beerta,20160317,   82,  100,   52
  Beerta,20160318,   90,   99,   77
  Beerta,20160319,   84,   98,   71
  Beerta,20160320,   93,   97,   84
  Beerta,20160321,   91,   95,   82
  Beerta,20160322,   95,   99,   82
  Beerta,20160323,   85,   98,   72
  Beerta,20160324,   88,   97,   72
  Beerta,20160325,   96,  100,   88
  Beerta,20160326,   78,  100,   55
  Beerta,20160327,   80,   94,   62
  Beerta,20160328,   72,   87,   52
  Beerta,20160329,   85,   92,   68
  Beerta,20160330,   81,   96,   60
  Beerta,20160331,   85,  100,   67
  Beerta,20160401,   70,   96,   47
  Beerta,20160402,   73,   85,   55
  Beerta,20160403,   82,   95,   68
  Beerta,20160404,   81,   95,   65
  Beerta,20160405,   91,   95,   84
  Beerta,20160406,   88,   98,   69
  Beerta,20160407,   82,   93,   65
  Beerta,20160408,   89,   99,   72
  Beerta,20160409,   73,  100,   50
  Beerta,20160410,   76,   91,   55
  Beerta,20160411,   69,   90,   50
  Beerta,20160412,   82,   97,   56
  Beerta,20160413,   86,   99,   69
  Beerta,20160414,   86,  100,   56
  Beerta,20160415,   88,   97,   81
  Beerta,20160416,   83,   95,   57
  Beerta,20160417,   80,   96,   57
  Beerta,20160418,   77,   95,   58
  Beerta,20160419,   76,   95,   58
  Beerta,20160420,   76,   93,   57
  Beerta,20160421,   79,   98,   55
  Beerta,20160422,   76,   97,   60
  Beerta,20160423,   77,   94,   54
  Beerta,20160424,   78,   94,   54
  Beerta,20160425,   93,   98,   80
  Beerta,20160426,   88,   98,   56
  Beerta,20160427,   86,   98,   68
  Beerta,20160428,   83,   97,   66
  Beerta,20160429,   85,   94,   64
  Beerta,20160430,   80,   98,   59
  Beerta,20160501,   80,   99,   57
  Beerta,20160502,   74,  100,   51
  Beerta,20160503,   82,   98,   60
  Beerta,20160504,   71,  100,   38
  Beerta,20160505,   62,   88,   37
  Beerta,20160506,   61,   89,   40
  Beerta,20160507,   54,   82,   31
  Beerta,20160508,   51,   73,   35
  Beerta,20160509,   58,   82,   38
  Beerta,20160510,   62,   80,   41
  Beerta,20160511,   60,   80,   33
  Beerta,20160512,   68,   88,   45
  Beerta,20160513,   69,   86,   47
  Beerta,20160514,   71,   85,   56
  Beerta,20160515,   81,   93,   61
  Beerta,20160516,   79,   95,   56
  Beerta,20160517,   74,   94,   54
  Beerta,20160518,   69,   94,   48
  Beerta,20160519,   77,   95,   46
  Beerta,20160520,   90,   97,   75
  Beerta,20160521,   73,   97,   52
  Beerta,20160522,   80,   99,   54
  Beerta,20160523,   96,  100,   89
  Beerta,20160524,   93,   99,   86
  Beerta,20160525,   88,   99,   73
  Beerta,20160526,   89,  100,   76
  Beerta,20160527,   90,  100,   69
  Beerta,20160528,   87,   99,   66
  Beerta,20160529,   89,   98,   79
  Beerta,20160530,   87,   98,   73
  Beerta,20160531,   82,   99,   51
  Beerta,20160601,   84,   99,   66
  Beerta,20160602,   91,  100,   79
  Beerta,20160603,   82,  100,   59
  Beerta,20160604,   74,   96,   42
  Beerta,20160605,   85,   98,   70
  Beerta,20160606,   86,   99,   69
  Beerta,20160607,   83,  100,   59
  Beerta,20160608,   85,   99,   72
  Beerta,20160609,   82,   97,   65
  Beerta,20160610,   77,   96,   59
  Beerta,20160611,   78,   99,   43
  Beerta,20160612,   84,   99,   70
  Beerta,20160613,   92,  100,   71
  Beerta,20160614,   88,   99,   73
  Beerta,20160615,   89,  100,   67
  Beerta,20160616,   82,  100,   55
  Beerta,20160617,   90,   99,   71
  Beerta,20160618,   88,  100,   66
  Beerta,20160619,   78,   94,   63
  Beerta,20160620,   90,   99,   69
  Beerta,20160621,   84,   99,   57
  Beerta,20160622,   80,   98,   59
  Beerta,20160623,   83,   98,   62
  Beerta,20160624,   90,   99,   71
  Beerta,20160625,   96,  100,   87
  Beerta,20160626,   86,  100,   69
  Beerta,20160627,   90,   98,   77
  Beerta,20160628,   74,   98,   52
  Beerta,20160629,   81,   99,   57
  Beerta,20160630,   92,   99,   83
  Beerta,20160701,   91,   97,   79
  Beerta,20160702,   79,   96,   56
  Beerta,20160703,   85,   97,   68
  Beerta,20160704,   81,   98,   54
  Beerta,20160705,   90,   97,   73
  Beerta,20160706,   79,   98,   58
  Beerta,20160707,   79,   99,   58
  Beerta,20160708,   90,   97,   78
  Beerta,20160709,   85,   99,   56
  Beerta,20160710,   77,   95,   51
  Beerta,20160711,   76,   94,   60
  Beerta,20160712,   86,  100,   57
  Beerta,20160713,   87,  100,   66
  Beerta,20160714,   86,   99,   65
  Beerta,20160715,   77,   95,   57
  Beerta,20160716,   90,  100,   78
  Beerta,20160717,   79,  100,   57
  Beerta,20160718,   74,   99,   46
  Beerta,20160719,   72,   99,   49
  Beerta,20160720,   68,   95,   40
  Beerta,20160721,   78,   98,   45
  Beerta,20160722,   93,   99,   79
  Beerta,20160723,   86,   98,   65
  Beerta,20160724,   88,  100,   56
  Beerta,20160725,   87,  100,   65
  Beerta,20160726,   81,  100,   49
  Beerta,20160727,   84,   99,   51
  Beerta,20160728,   83,  100,   58
  Beerta,20160729,   83,   97,   63
  Beerta,20160730,   79,   96,   54
  Beerta,20160731,   83,  100,   56
  Beerta,20160801,   79,   97,   53
  Beerta,20160802,   80,  100,   56
  Beerta,20160803,   91,  100,   70
  Beerta,20160804,   80,   96,   63
  Beerta,20160805,   82,   99,   59
  Beerta,20160806,   80,   97,   48
  Beerta,20160807,   82,   97,   50
  Beerta,20160808,   77,   94,   46
  Beerta,20160809,   77,   97,   51
  Beerta,20160810,   81,   97,   55
  Beerta,20160811,   95,   99,   82
  Beerta,20160812,   94,  100,   82
  Beerta,20160813,   85,   98,   67
  Beerta,20160814,   82,  100,   59
  Beerta,20160815,   81,   99,   58
  Beerta,20160816,   81,  100,   56
  Beerta,20160817,   74,  100,   43
  Beerta,20160818,   80,  100,   52
  Beerta,20160819,   73,  100,   40
  Beerta,20160820,   79,   94,   57
  Beerta,20160821,   84,   98,   66
  Beerta,20160822,   95,   99,   86
  Beerta,20160823,   87,   97,   69
  Beerta,20160824,   70,   96,   41
  Beerta,20160825,   66,   90,   37
  Beerta,20160826,   79,   98,   61
  Beerta,20160827,   81,  100,   51
  Beerta,20160828,   86,   99,   74
  Beerta,20160829,   86,   98,   68
  Beerta,20160830,   82,   99,   54
  Beerta,20160831,   73,  100,   40
  Beerta,20160901,   84,   97,   61
  Beerta,20160902,   83,   97,   60
  Beerta,20160903,   83,   99,   56
  Beerta,20160904,   91,   98,   70
  Beerta,20160905,   85,   99,   64
  Beerta,20160906,   82,  100,   58
  Beerta,20160907,   77,   99,   47
  Beerta,20160908,   76,   95,   50
  Beerta,20160909,   79,  100,   52
  Beerta,20160910,   74,   98,   46
  Beerta,20160911,   83,   94,   69
  Beerta,20160912,   76,   99,   48
  Beerta,20160913,   70,   93,   46
  Beerta,20160914,   65,   80,   44
  Beerta,20160915,   62,   80,   43
  Beerta,20160916,   83,   98,   64
  Beerta,20160917,   86,   97,   69
  Beerta,20160918,   76,   93,   49
  Beerta,20160919,   71,   90,   43
  Beerta,20160920,   75,   89,   53
  Beerta,20160921,   74,  100,   51
  Beerta,20160922,   71,  100,   43
  Beerta,20160923,   77,   92,   52
  Beerta,20160924,   72,   97,   49
  Beerta,20160925,   71,   96,   41
  Beerta,20160926,   81,   99,   48
  Beerta,20160927,   73,  100,   45
  Beerta,20160928,   72,   90,   53
  Beerta,20160929,   86,   97,   69
  Beerta,20160930,   84,   95,   64
  Beerta,20161001,   88,   98,   71
  Beerta,20161002,   92,  100,   77
  Beerta,20161003,   90,  100,   77
  Beerta,20161004,   82,   97,   60
  Beerta,20161005,   76,   94,   59
  Beerta,20161006,   80,   86,   71
  Beerta,20161007,   83,   90,   78
  Beerta,20161008,   79,   94,   58
  Beerta,20161009,   91,   99,   73
  Beerta,20161010,   86,   99,   58
  Beerta,20161011,   91,   99,   80
  Beerta,20161012,   81,   92,   69
  Beerta,20161013,   81,   88,   75
  Beerta,20161014,   76,   84,   67
  Beerta,20161015,   91,  100,   84
  Beerta,20161016,   81,  100,   57
  Beerta,20161017,   88,  100,   74
  Beerta,20161018,   92,  100,   74
  Beerta,20161019,   90,  100,   77
  Beerta,20161020,   93,   99,   82
  Beerta,20161021,   94,   98,   88
  Beerta,20161022,   93,  100,   80
  Beerta,20161023,   89,   99,   71
  Beerta,20161024,   94,   99,   88
  Beerta,20161025,   92,  100,   71
  Beerta,20161026,   92,  100,   81
  Beerta,20161027,   91,   98,   83
  Beerta,20161028,   90,   95,   84
  Beerta,20161029,   87,   96,   70
  Beerta,20161030,   94,   99,   81
  Beerta,20161031,   92,   99,   74
  Beerta,20161101,   92,   97,   84
  Beerta,20161102,   90,   99,   79
  Beerta,20161103,   94,  100,   76
  Beerta,20161104,   86,   89,   81
  Beerta,20161105,   92,   98,   78
  Beerta,20161106,   93,   97,   83
  Beerta,20161107,   90,   94,   82
  Beerta,20161108,   87,   94,   77
  Beerta,20161109,   94,   96,   87
  Beerta,20161110,   90,   99,   78
  Beerta,20161111,   88,   98,   67
  Beerta,20161112,   85,   98,   75
  Beerta,20161113,   82,   93,   75
  Beerta,20161114,   91,   97,   82
  Beerta,20161115,   99,  100,   96
  Beerta,20161116,   91,  100,   80
  Beerta,20161117,   89,   99,   78
  Beerta,20161118,   86,   93,   76
  Beerta,20161119,   87,   92,   83
  Beerta,20161120,   79,   87,   68
  Beerta,20161121,   86,   99,   75
  Beerta,20161122,   80,   88,   73
  Beerta,20161123,   96,   99,   89
  Beerta,20161124,   88,   96,   74
  Beerta,20161125,   99,  100,   97
  Beerta,20161126,   98,  100,   90
  Beerta,20161127,   87,   95,   77
  Beerta,20161128,   85,   95,   72
  Beerta,20161129,   89,   98,   69
  Beerta,20161130,   85,   91,   69
  Beerta,20161201,   90,   95,   82
  Beerta,20161202,   88,   95,   74
  Beerta,20161203,   90,   98,   73
  Beerta,20161204,   95,   98,   91
  Beerta,20161205,   91,   98,   75
  Beerta,20161206,   89,   95,   82
  Beerta,20161207,   88,   91,   84
  Beerta,20161208,   83,   97,   75
  Beerta,20161209,   96,   99,   92
